D,date,season,year,month,holiday,weekday,workingday,weathersit,temperature,atemp,humidity,windspeed,casual,registered,count
1,1/1/2011,1.00,0.00,1.00,0.00,6.00,0.00,2,0.34417,0.363625,0.805833,0.160446,331.00,654.00,985.00
2,1/2/2011,1.00,0.00,1.00,0.00,0.00,0.00,2,0.36348,0.353739,0.696087,0.248539,131.00,670.00,801.00
3,1/3/2011,1.00,0.00,1.00,0.00,1.00,1.00,1,0.19636,0.189405,0.437273,0.248309,120.00,1229.00,1349.00
4,1/4/2011,1.00,0.00,1.00,0.00,2.00,1.00,1,0.20000,0.212122,0.590435,0.160296,108.00,1454.00,1562.00
5,1/5/2011,1.00,0.00,1.00,0.00,3.00,1.00,1,0.22696,0.22927,0.436957,0.186900,82.00,1518.00,1600.00
6,1/6/2011,1.00,0.00,1.00,0.00,4.00,1.00,1,0.20435,0.233209,0.518261,0.089565,88.00,1518.00,1606.00
7,1/7/2011,1.00,0.00,1.00,0.00,5.00,1.00,2,0.19652,0.208839,0.498696,0.168726,148.00,1362.00,1510.00
8,1/8/2011,1.00,0.00,1.00,0.00,6.00,0.00,2,0.16500,0.162254,0.535833,0.266804,68.00,891.00,959.00
9,1/9/2011,1.00,0.00,1.00,0.00,0.00,0.00,1,0.13833,0.116175,0.434167,0.361950,54.00,768.00,822.00
10,1/10/2011,1.00,0.00,1.00,0.00,1.00,1.00,1,0.15083,0.150888,0.482917,0.223267,41.00,1280.00,1321.00
11,1/11/2011,1.00,0.00,1.00,0.00,2.00,1.00,2,0.16909,0.191464,0.686364,0.122132,43.00,1220.00,1263.00
12,1/12/2011,1.00,0.00,1.00,0.00,3.00,1.00,1,0.17273,0.160473,0.599545,0.304627,25.00,1137.00,1162.00
13,1/13/2011,1.00,0.00,1.00,0.00,4.00,1.00,1,0.16500,0.150883,0.470417,0.301000,38.00,1368.00,1406.00
14,1/14/2011,1.00,0.00,1.00,0.00,5.00,1.00,1,0.16087,0.188413,0.537826,0.126548,54.00,1367.00,1421.00
15,1/15/2011,1.00,0.00,1.00,0.00,6.00,0.00,2,0.23333,0.248112,0.498750,0.157963,222.00,1026.00,1248.00
16,1/16/2011,1.00,0.00,1.00,0.00,0.00,0.00,1,0.23167,0.234217,0.483750,0.188433,251.00,953.00,1204.00
17,1/17/2011,1.00,0.00,1.00,1.00,1.00,0.00,2,0.17583,0.176771,0.537500,0.194017,117.00,883.00,1000.00
18,1/18/2011,1.00,0.00,1.00,0.00,2.00,1.00,2,0.21667,0.232333,0.861667,0.146775,9.00,674.00,683.00
19,1/19/2011,1.00,0.00,1.00,0.00,3.00,1.00,2,0.29217,0.298422,0.741739,0.208317,78.00,1572.00,1650.00
