ac_year,age,state_cd,state_name,district_cd,district_name,class_1_boys,class_2_boys,class_3_boys,class_4_boys,class_5_boys,class_6_boys,class_7_boys,class_8_boys,class_9_boys,class_10_boys,class_11_boys,class_12_boys,class_1_girls,class_2_girls,class_3_girls,class_4_girls,class_5_girls,class_6_girls,class_7_girls,class_8_girls,class_9_girls,class_10_girls,class_11_girls,class_12_girls
2013-14,4,1,Jammu & Kashmir,101,KUPWARA,1386,0,0,0,0,0,0,0,0,0,0,0,1351,0,0,0,0,0,0,0,0,0,0,0
2013-14,4,1,Jammu & Kashmir,102,BARAMULA,437,0,0,0,0,0,0,0,0,0,0,0,420,0,0,0,0,0,0,0,0,0,0,0
2013-14,4,1,Jammu & Kashmir,103,SRINAGAR,126,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0
2013-14,4,1,Jammu & Kashmir,104,BADGAM,2611,0,0,0,0,0,0,0,0,0,0,0,2492,0,0,0,0,0,0,0,0,0,0,0
2013-14,4,1,Jammu & Kashmir,105,PULWAMA,528,0,0,0,0,0,0,0,0,0,0,0,532,0,0,0,0,0,0,0,0,0,0,0
2013-14,4,1,Jammu & Kashmir,106,ANANTNAG,868,0,0,0,0,0,0,0,0,0,0,0,773,0,0,0,0,0,0,0,0,0,0,0
2013-14,4,1,Jammu & Kashmir,107,LEH (LADAKH),12,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
2013-14,4,1,Jammu & Kashmir,108,KARGIL,102,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0
2013-14,4,1,Jammu & Kashmir,109,DODA,230,0,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0
2013-14,4,1,Jammu & Kashmir,110,UDHAMPUR,66,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0
2013-14,4,1,Jammu & Kashmir,111,PUNCH,1299,0,0,0,0,0,0,0,0,0,0,0,1210,0,0,0,0,0,0,0,0,0,0,0
2013-14,4,1,Jammu & Kashmir,112,RAJAURI,1794,0,0,0,0,0,0,0,0,0,0,0,1487,0,0,0,0,0,0,0,0,0,0,0
2013-14,4,1,Jammu & Kashmir,113,JAMMU,130,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0
2013-14,4,1,Jammu & Kashmir,114,KATHUA,7,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
2013-14,4,1,Jammu & Kashmir,115,SHOPIAN,213,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0
2013-14,4,1,Jammu & Kashmir,116,BANDIPORA,498,0,0,0,0,0,0,0,0,0,0,0,443,0,0,0,0,0,0,0,0,0,0,0
2013-14,4,1,Jammu & Kashmir,117,KISHTWAR,191,0,0,0,0,0,0,0,0,0,0,0,195,0,0,0,0,0,0,0,0,0,0,0
2013-14,4,1,Jammu & Kashmir,118,RAMBAN,179,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0
2013-14,4,1,Jammu & Kashmir,119,GANDERBAL,1170,0,0,0,0,0,0,0,0,0,0,0,1084,0,0,0,0,0,0,0,0,0,0,0
2013-14,4,1,Jammu & Kashmir,120,KULGAM,804,0,0,0,0,0,0,0,0,0,0,0,892,0,0,0,0,0,0,0,0,0,0,0
2013-14,4,1,Jammu & Kashmir,121,REASI,29,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
2013-14,4,1,Jammu & Kashmir,122,SAMBA,236,0,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0,0,0,0,0,0
2013-14,4,2,Himachal Pradesh,201,CHAMBA,92,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0
2013-14,4,2,Himachal Pradesh,202,KANGRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-14,4,2,Himachal Pradesh,203,LAHUL & SPITI,11,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
2013-14,4,2,Himachal Pradesh,204,KULLU,159,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0
2013-14,4,2,Himachal Pradesh,205,MANDI,1173,0,0,0,0,0,0,0,0,0,0,0,1095,0,0,0,0,0,0,0,0,0,0,0
2013-14,4,2,Himachal Pradesh,206,HAMIRPUR (H.P.),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-14,4,2,Himachal Pradesh,207,UNA,205,0,0,0,0,0,0,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0
2013-14,4,2,Himachal Pradesh,208,BILASPUR (H.P.),127,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0
2013-14,4,2,Himachal Pradesh,209,SOLAN,157,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0
2013-14,4,2,Himachal Pradesh,210,SIRMAUR,65,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0
2013-14,4,2,Himachal Pradesh,211,SHIMLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-14,4,2,Himachal Pradesh,212,KINNAUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-14,4,3,Punjab,301,GURDASPUR,638,0,0,0,0,0,0,0,0,0,0,0,579,0,0,0,0,0,0,0,0,0,0,0
2013-14,4,3,Punjab,302,AMRITSAR,636,0,0,0,0,0,0,0,0,0,0,0,564,0,0,0,0,0,0,0,0,0,0,0
2013-14,4,3,Punjab,303,KAPURTHALA,469,0,0,0,0,0,0,0,0,0,0,0,418,0,0,0,0,0,0,0,0,0,0,0
2013-14,4,3,Punjab,304,JALANDHAR,1740,0,0,0,0,0,0,0,0,0,0,0,1741,0,0,0,0,0,0,0,0,0,0,0
2013-14,4,3,Punjab,305,HOSHIARPUR,1735,0,0,0,0,0,0,0,0,0,0,0,1598,0,0,0,0,0,0,0,0,0,0,0
